Parameter,Coefficient,SE,95% CI,t(338),p
(Intercept),-0.039262300914558734,0.00975603270659997,"[-0.058452, -0.020072]",-4.02441259632081,7.053132081320472e-5
rt_delta_post,0.002800015293237817,0.008594463965012027,"[-0.014105, 0.019705]",0.3257928946629656,0.7447826556848964
factor(group)Item-Only,0.009071386991881054,0.013708148755034412,"[-0.017893, 0.036035]",0.6617514263951596,0.5085814249397733
factor(group)Task-Only,-0.0032054376971762497,0.013499192005517031,"[-0.029758, 0.023348]",-0.2374540413875296,0.8124484336574554
"Overall Pearson r (RT slowing vs REC deficit): r=0.017, p=0.76",0.016833647515371173,NA,"[-0.089, 0.123]",NA,0.7564157473613727
