term,log odds,SE_log odds,95%CI_logodds,odds ratio,SE_OR,95%CI_oR,z,p
(Intercept),0.3133632594267503,0.10978924365861452,"[0.098180, 0.528546]",1.3680183863532618,0.1501937039488029,"[1.103162, 1.696464]",2.8542255050152403,0.004314189591848339
pos_post,0.19921415371126405,0.09253575310988242,"[0.017847, 0.380581]",1.220443300378163,0.11293463992840376,"[1.018008, 1.463134]",2.152834412821014,0.031331694548516455
grp_task,-0.21232275724749802,0.09594879851266123,"[-0.400379, -0.024267]",0.80870364047869,0.07759414265674545,"[0.670066, 0.976025]",-2.2128756226111603,0.026906221773677286
grp_both,-0.02004613173218762,0.08716763028813232,"[-0.190892, 0.150799]",0.98015345608705,0.08543765408583111,"[0.826222, 1.162763]",-0.22997220029872553,0.8181133717422631
pos_pre,0.1598188807649572,0.09252315326864073,"[-0.021523, 0.341161]",1.173298344847409,0.10855726259015931,"[0.978707, 1.406580]",1.7273393212283146,0.08410674123466774
pos_post:grp_task,-0.30129420947035124,0.13077903164633567,"[-0.557616, -0.044972]",0.7398600668843027,0.09675818310092225,"[0.572572, 0.956024]",-2.3038418749355625,0.02123152152290718
pos_post:grp_both,-0.39458979877755407,0.1300439050815848,"[-0.649471, -0.139708]",0.6739564403106559,0.08764392735288172,"[0.522322, 0.869612]",-3.0342813723565345,0.002411094406729952
grp_task:pos_pre,0.07295579956717053,0.13219788816067596,"[-0.186147, 0.332059]",1.0756829902101641,0.14220301963614476,"[0.830151, 1.393835]",0.5518681166714146,0.5810387140844642
grp_both:pos_pre,-0.06415482037175824,0.13108439237035188,"[-0.321076, 0.192766]",0.9378597884890948,0.12293878050267973,"[0.725368, 1.212599]",-0.48941616321874565,0.6245470952632313
